airlineIataCode,airlineName,airlineName_trimmed
AD,아줄 브라질,아줄브라질
2F,아줄 코넥타,아줄코넥타
ZF,아주르 항공,아주르항공
CJ,BA 시티플라이어,BA시티플라이어
A0,BA 유로플라이어,BA유로플라이어
J4,바드르 항공,바드르항공
UP,바하마항공,바하마항공
QH,뱀부 항공,뱀부항공
PG,방콕항공,방콕항공
ID,바틱 에어 인도네시아,바틱에어인도네시아
OD,바틱 에어 말레이시아,바틱에어말레이시아
B5,BBN 항공,BBN항공
0B,BBN 인도네시아 항공,BBN인도네시아항공
JV,베어스킨 항공사,베어스킨항공사
JD,베이징 케피탈 항공,베이징케피탈항공
B2,벨라비아 항공,벨라비아항공
CH,베미지 항공,베미지항공
B4,비온드 항공,비온드항공
8E,베링항공,베링항공
J8,버자야 에어,버자야에어
2T,버뮤다항공,버뮤다항공
NB,버니크 항공,버니크항공
8H,BH 에어,BH에어
B3,부탄 항공,부탄항공
BG,비만 방글라데시 항공,비만방글라데시항공
NT,빈터 카나리아스,빈터카나리아스
BH,비스밀라 항공,비스밀라항공
BZ,블루다트 항공,블루다트항공
SI,블루 아일랜드,블루아일랜드
BZ,블루버드 항공,블루버드항공
OB,볼리비아 항공,볼리비아항공
4B,부티크 에어,부티크에어
TT,브라텐스 국제항공,브라텐스국제항공
1X,브랜슨 에어 익스프레스,브랜슨에어익스프레스
MX,브리즈 항공,브리즈항공
BA,영국 항공,영국항공
BS,영국 국제 헬리콥터,영국국제헬리콥터
SN,브뤼셀 항공,브뤼셀항공
RP,부다페스트 에어크래프트 서비스,부다페스트에어크래프트서비스
U4,부다 에어,부다에어
BD,버짓 라인,버짓라인
J0,버팔로 항공,버팔로항공
LB,불 항공,불항공
FB,불가리아 항공,불가리아항공
UZ,부라키 항공,부라키항공
RR,버즈,버즈
VR,카페베르데 항공,카페베르데항공
9Q,카이코스 익스프레스 항공,카이코스익스프레스항공
A7,칼라피아 항공,칼라피아항공
MO,캄 에어,캄에어
QC,카메룬 항공,카메룬항공
KR,캄보디아 항공,캄보디아항공
K6,캄보디아 앙코르 항공,캄보디아앙코르항공
Z7,카멕스항공,카멕스항공
5T,캐나다 북부 항공,캐나다북부항공
PM,카나리플라이 항공,카나리플라이항공
9K,케이프 항공,케이프항공
8F,카딕 에어,카딕에어
C3,카고 쓰리,카고쓰리
W8,카고제트 항공,카고제트항공
CV,카고룩스 국제항공,카고룩스국제항공
C8,카고룩스 이탈리아,카고룩스이탈리아
BW,카리브 항공,카리브항공
V3,카르파트에어,카르파트에어
CX,캐세이퍼시픽 항공,캐세이퍼시픽항공
KX,케이맨 항공,케이맨항공
DG,세브고,세브고
5J,세부 퍼시픽 항공,세부퍼시픽항공
C2,세이바 인터콘티넨탈,세이바인터콘티넨탈
5Z,셈에어,셈에어
9M,센터럴 마운틴에어,센터럴마운틴에어
GM,체어항공 AG,체어항공AG
CE,샬레어 항공,샬레어항공
X7,챌린지 항공,챌린지항공
5C,챌린지 항공 IL,챌린지항공IL
6Q,참윙스 항공,참윙스항공
VC,차터 에어 트랜스포트,차터에어트랜스포트
EU,청두 항공,청두항공
CI,중화 항공,중화항공
CK,중국 화물 항공,중국화물항공
I9,중국 중앙 항공,중국중앙항공
MU,중국 동방 항공,중국동방항공
MU,차이나 이스턴 윈난 항공,차이나이스턴윈난항공
G5,중국 익스프레스 항공,중국익스프레스항공
CO,중국 노스웨스턴 국제항공,중국노스웨스턴국제항공
CF,차이나 포스탈 항공,차이나포스탈항공
CZ,중국 남방 항공,중국남방항공
CZ,중국 남방 화물,중국남방화물
KN,차이나 유나이티드 항공,차이나유나이티드항공
OQ,충칭 항공,충칭항공
C7,시나몬 에어,시나몬에어
QG,시티링크,시티링크
WX,시티제트,시티제트
VE,클릭 에어,클릭에어
H5,CM 항공,CM항공
2C,CMA CGM 화물항공,CMACGM화물항공
CQ,코스탈 항공,코스탈항공
GY,컬러풀 구이저우 항공,컬러풀구이저우항공
C5,커뮤트 에어,커뮤트에어
BU,아프리카 항공,아프리카항공
HQ,컴퍼스 화물항공,컴퍼스화물항공
DE,콘도르 플루그디엔스트,콘도르플루그디엔스트
8Z,콩고 항공,콩고항공
6C,컨넥트 화물항공,컨넥트화물항공
C4,콘퀘스트 항공 화물,콘퀘스트항공화물
LF,컨투어 항공,컨투어항공
V0,콘비아사,콘비아사
CM,코파 항공,코파항공
P5,코파 항공 콜롬비아,코파항공콜롬비아
